id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
342,E81 - TRASIEGO DE SEMILLA,true,E81,TRASIEGO DE SEMILLA,1.87,,0,0,0,
343,E82 - TRASLADO DE EQUIPO,true,E82,TRASLADO DE EQUIPO,1.87,,0,0,0,
344,E83 - ACUMULAR AZUCAR EN BODEGA,true,E83,ACUMULAR AZUCAR EN BODEGA,1.87,,0,0,0,
345,E84 - ACARREO DE BAGACILLO,true,E84,ACARREO DE BAGACILLO,1.87,,0,0,0,
346,E85 - CORTE CAMINO Y CARRETERA,true,E85,CORTE CAMINO Y CARRETERA,1.87,,0,0,0,
347,"E91 - RIEGO DE CALLES, CAMINOS, PATI",true,E91,"RIEGO DE CALLES, CAMINOS, PATI",1.87,,0,0,0,
348,J001 - ASEO Y LIMPIEZA,true,J001,ASEO Y LIMPIEZA,1.87,,0,0,0,
349,J002 - LAVADO DE EQUIPO,true,J002,LAVADO DE EQUIPO,1.87,,0,0,0,
350,J049 - SEGURIDAD BOQUETE,true,J049,SEGURIDAD BOQUETE,1.87,,0,0,0,
351,J050 - VIGILANCIA DE FINCA,true,J050,VIGILANCIA DE FINCA,1.87,,0,0,0,
352,J069 - Otras Labores Campo,true,J069,Otras Labores Campo,1.87,,0,0,0,
353,J41 - PREVENCIÓN DE INCENDIO,true,J41,PREVENCIÓN DE INCENDIO,1.87,,0,0,0,
354,J50 - RECLUTAMIENTO AGRICOLA,true,J50,RECLUTAMIENTO AGRICOLA,1.87,,0,0,0,
355,J81 - OPERACION DE MOTOSIERRA,true,J81,OPERACION DE MOTOSIERRA,1.87,,0,0,0,
356,K001 - ASEO Y MANTENIMIENTO,true,K001,ASEO Y MANTENIMIENTO,1.87,,0,0,0,
357,K004 - CORTE DE CAÑA,true,K004,CORTE DE CAÑA,1.87,,0,0,0,
