id,name,tipo_equipo,marca,model,serial_no,motor,note,placa,anio,localizacion,codigo_activo,tipo_activo
412,4-95-080,CONTENEDORES,CAMECO,15  TONS.,S-412,S/N,,SP,1977,,4-95-080,VEHICULOS-TRANSPORTE
413,4-95-081,CONTENEDORES,CAMECO,15  TONS.,S-413,S/N,,SP,1977,,4-95-081,VEHICULOS-TRANSPORTE
414,4-95-082,CONTENEDORES,CAMECO,15  TONS.,S-414,S/N,,SP,1977,,4-95-082,VEHICULOS-TRANSPORTE
415,4-95-083,CONTENEDORES,CAMECO,15  TONS.,S-415,S/N,,SP,1977,,4-95-083,VEHICULOS-TRANSPORTE
416,4-95-087,CONTENEDORES,CAMECO,15  TONS.,S-416,S/N,,SP,1977,,4-95-087,VEHICULOS-TRANSPORTE
417,4-95-088,CONTENEDORES,CAMECO,15  TONS.,S-417,S/N,,SP,1977,,4-95-088,VEHICULOS-TRANSPORTE
418,4-95-089,CONTENEDORES,CAMECO,15  TONS.,S-418,S/N,,SP,1977,,4-95-089,VEHICULOS-TRANSPORTE
419,4-95-090,CONTENEDORES,CAMECO,15  TONS.,S-419,S/N,,SP,1977,,4-95-090,VEHICULOS-TRANSPORTE
420,4-95-091,CONTENEDORES,CAMECO,15  TONS.,S-420,S/N,,SP,1977,,4-95-091,VEHICULOS-TRANSPORTE
421,4-95-092,CONTENEDORES,CAMECO,15  TONS.,S-421,S/N,,SP,1977,,4-95-092,VEHICULOS-TRANSPORTE
422,4-95-093,CONTENEDORES,CAMECO,15  TONS.,S-422,S/N,,SP,1977,,4-95-093,VEHICULOS-TRANSPORTE
423,4-95-094,CONTENEDORES,CAMECO,15  TONS.,S-423,S/N,,SP,1977,,4-95-094,VEHICULOS-TRANSPORTE
424,4-95-095,CONTENEDORES,CAMECO,15  TONS.,S-424,S/N,,SP,1977,,4-95-095,VEHICULOS-TRANSPORTE
425,4-95-096,CONTENEDORES,CAMECO,15  TONS.,S-425,S/N,,SP,1977,,4-95-096,VEHICULOS-TRANSPORTE
426,4-95-097,CONTENEDORES,CAMECO,15  TONS.,S-426,S/N,,SP,1977,,4-95-097,VEHICULOS-TRANSPORTE
427,4-95-099,CONTENEDORES,CAMECO,15  TONS.,S-427,S/N,,SP,1977,,4-95-099,VEHICULOS-TRANSPORTE
428,4-95-100,CONTENEDORES,CAMECO,15  TONS.,S-428,S/N,,SP,1977,,4-95-100,VEHICULOS-TRANSPORTE
429,4-95-101,CONTENEDORES,CAMECO,15  TONS.,S-429,S/N,,SP,1977,,4-95-101,VEHICULOS-TRANSPORTE
430,4-95-102,CONTENEDORES,CAMECO,15  TONS.,S-430,S/N,,SP,1977,,4-95-102,VEHICULOS-TRANSPORTE
431,4-95-103,CONTENEDORES,CAMECO,15  TONS.,S-431,S/N,,SP,1977,,4-95-103,VEHICULOS-TRANSPORTE
432,4-95-104,CONTENEDORES,CAMECO,15  TONS.,S-432,S/N,,SP,1977,,4-95-104,VEHICULOS-TRANSPORTE
433,4-95-106,CONTENEDORES,CAMECO,15  TONS.,S-433,S/N,,SP,1977,,4-95-106,VEHICULOS-TRANSPORTE
434,4-95-107,CONTENEDORES,CAMECO,15  TONS.,S-434,S/N,,SP,1977,,4-95-107,VEHICULOS-TRANSPORTE
435,4-95-109,CONTENEDORES,CAMECO,15  TONS.,S-435,S/N,,SP,1977,,4-95-109,VEHICULOS-TRANSPORTE
436,4-95-110,CONTENEDORES,CAMECO,15  TONS.,S-436,S/N,,SP,1977,,4-95-110,VEHICULOS-TRANSPORTE
437,4-95-111,CONTENEDORES,CAMECO,15  TONS.,S-437,S/N,,SP,1977,,4-95-111,VEHICULOS-TRANSPORTE
438,4-95-112,CONTENEDORES,CAMECO,15  TONS.,S-438,S/N,,SP,1977,,4-95-112,VEHICULOS-TRANSPORTE
439,4-95-113,CONTENEDORES,CAMECO,15  TONS.,S-439,S/N,,SP,1977,,4-95-113,VEHICULOS-TRANSPORTE
440,4-95-114,CONTENEDORES,CAMECO,15  TONS.,S-440,S/N,,SP,1977,,4-95-114,VEHICULOS-TRANSPORTE
441,4-95-115,CONTENEDORES,CAMECO,15  TONS.,S-441,S/N,,SP,1977,,4-95-115,VEHICULOS-TRANSPORTE
442,4-95-116,CONTENEDORES,CAMECO,15  TONS.,S-442,S/N,,SP,1977,,4-95-116,VEHICULOS-TRANSPORTE
443,4-95-117,CONTENEDORES,CAMECO,15  TONS.,S-443,S/N,,SP,1977,,4-95-117,VEHICULOS-TRANSPORTE
444,4-95-119,CONTENEDORES,CAMECO,15  TONS.,S-444,S/N,,SP,1977,,4-95-119,VEHICULOS-TRANSPORTE
445,4-95-120,CONTENEDORES,CAMECO,15  TONS.,S-445,S/N,,SP,1977,,4-95-120,VEHICULOS-TRANSPORTE
446,4-95-121,CONTENEDORES,CAMECO,15  TONS.,S-446,S/N,,SP,1977,,4-95-121,VEHICULOS-TRANSPORTE
447,4-95-124,CONTENEDORES,CAMECO,15  TONS.,S-447,S/N,,SP,1977,,4-95-124,VEHICULOS-TRANSPORTE
448,4-95-126,CONTENEDORES,CAMECO,15  TONS.,S-448,S/N,,SP,1977,,4-95-126,VEHICULOS-TRANSPORTE
449,4-95-127,CONTENEDORES,CAMECO,15  TONS.,S-449,S/N,,SP,1977,,4-95-127,VEHICULOS-TRANSPORTE
450,4-95-128,CONTENEDORES,CAMECO,15  TONS.,S-450,S/N,,SP,1977,,4-95-128,VEHICULOS-TRANSPORTE
451,4-95-129,CONTENEDORES,CAMECO,15  TONS.,S-451,S/N,,SP,1977,,4-95-129,VEHICULOS-TRANSPORTE
452,4-95-130,CONTENEDORES,CAMECO,15  TONS.,S-452,S/N,,SP,1977,,4-95-130,VEHICULOS-TRANSPORTE
453,4-95-131,CONTENEDORES,CAMECO,15  TONS.,S-453,S/N,,SP,1977,,4-95-131,VEHICULOS-TRANSPORTE
454,4-95-132,CONTENEDORES,CAMECO,15  TONS.,S-454,S/N,,SP,1977,,4-95-132,VEHICULOS-TRANSPORTE
455,4-95-146,CONTENEDORES,CAMECO,15  TONS.,S-455,S/N,,SP,1977,,4-95-146,VEHICULOS-TRANSPORTE
456,4-99-001,TANQUE CISTERNA,BUTLER,,S-456,S/N,,SP,,,4-99-001,VEHICULOS-TRANSPORTE
457,4-99-002,TANQUE CISTERNA,BUTLER,,S-457,S/N,,SP,,,4-99-002,VEHICULOS-TRANSPORTE
458,4-99-003,TANQUE CISTERNA,POLAR AMERICAN,,S-458,S/N,,SP,,,4-99-003,VEHICULOS-TRANSPORTE
