name,,
MAQUINARIAS INDUSTRIALES FIJA,,
EQUIPOS MAQUINARIAS VEHICULOS-INDUSTRIAL,,
HERRAMIENTAS,,
VEHICULOS-TRANSPORTE,,
TERRENOS Y BIENES NATURALES,,
CONSTRUCCIONES,,
INSTALACIONES TECNICAS,,
MOBILIARIO,,
EQUIPOS INFORMATICOS,,
OTROS,,
,,
,,
