id,name,active,code_frente,description
1,Frente 1,VERDADERO,1
2,Frente 2,VERDADERO,2
3,Frente 3,VERDADERO,3
4,Frente 4,VERDADERO,4
5,Frente 5,VERDADERO,5
6,Frente 6,VERDADERO,6
